ID,Name,Type,Episodes,Rating,Realease_year,Genres,Release_season,Studio
188,The Stranger by the Shore,Movie,0,4.27,2020,"BL, Romance",,Studio Hibari
189,One Piece Movie 10: Strong World,Movie,0,4.27,2009,"Action, Adventure",,Toei Animation
190,Food Wars! The Third Plate,TV   ,12,4.27,2017,"Comedy, Ecchi",Fall ,J.C.Staff
191,Kuroko's Basketball: Last Game,Movie,0,4.26,2017,"Shounen, Sports",,Production I.G
192,Tengen Toppa Gurren Lagann,TV   ,27,4.26,2007,"Action, Adventure",Spring,GAINAX
193,Kamisama Kiss,TV   ,13,4.26,2012,"Comedy, Fantasy",Fall ,TMS Entertainment
194,Moriarty the Patriot,TV   ,11,4.26,2020,"Mystery, Shounen",Fall ,Production I.G
195,Kuroko's Basketball: The Greatest Present,DVD S,0,4.26,2015,"Shounen, Sports",,Production I.G
196,Kaguya-sama: Love Is War,TV   ,12,4.26,2019,"Comedy, Drama",Winter,A-1 Pictures
197,Food Wars! Shokugeki no Souma,TV   ,24,4.26,2015,"Comedy, Ecchi",Spring,J.C.Staff
198,Mushoku Tensei: Jobless Reincarnation,TV   ,11,4.26,2021,"Action, Adventure",Winter,Studio Bind
199,Snow White with the Red Hair 2nd Season,TV   ,12,4.26,2016,"Drama, Fantasy",Winter,Bones
200,JoJo's Bizarre Adventure: Stardust Crusaders,TV   ,24,4.26,2014,"Action, Adventure",Spring,David Production
201,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA  ,1,4.26,2014,"Drama, Shoujo",,Brain's Base
202,Detective Conan: Episode One - The Great Detective Turned Small,TV Sp,0,4.26,2016,"Action, Drama",,TMS Entertainment
203,No Game No Life,TV   ,12,4.26,2014,"Adventure, Ecchi",Spring,MADHOUSE
204,Chihayafuru 2,TV   ,25,4.25,2013,"Drama, Josei",Winter,MADHOUSE
205,Gintama: Yorinuki Gintama-san on Theater 2D,Other,0,4.25,2012,"Action, Comedy",,Sunrise
206,Legend of the Galactic Heroes,OVA  ,11,4.25,1988,"Drama, Sci Fi",,Magic Bus
207,The Quintessential Quintuplets 2,TV   ,12,4.25,2021,"Comedy, Drama",Winter,Bibury Animation Studios
208,Black Butler: Book of Murder,OVA  ,2,4.25,2014,"Mystery, Shounen",,A-1 Pictures
209,Yuri!!! on Ice: Welcome to The Madness,DVD S,0,4.25,2017,"Sports, Ice Skating",,MAPPA
210,My Neighbor Totoro,Movie,0,4.25,1988,"Fantasy, Slice of Life",,Studio Ghibli
211,Food Wars! The Third Plate: Totsuki Train Arc,TV   ,12,4.25,2018,"Comedy, Ecchi",Spring,J.C.Staff
212,Anohana: The Flower We Saw That Day,TV   ,11,4.25,2011,"Drama, Romance",Spring,A-1 Pictures
